COD_EMPRESA,COD_PRODUCTO,MONTO_MINIMO,A_LA_VISTA,FORMA_CALCULO_INTERES,FRE_REVISION,PLAZO_REVISION,FRE_INTERES,PLAZO_INTERES,FRE_CAPITALIZA,PLAZO_CAPITALIZA,PAGA_RENTA,PORCENTAJE_RENTA,BASE_CALCULO,BASE_PLAZO,PLAZO_MINIMO,ADICIONADO_POR,FECHA_ADICION,MODIFICADO_POR,FECHA_MODIFICACION,NUM_DIAS,TIENE_DOC_FISICO,MODIFICA_PLA_CAP,DIA_DE_CAP_FRE_MES,DIA_PAGO_INT,COD_CARTERA,DIAS_EFECTIVO,DIAS_CHEQUE,MON_COM_EMISION_CHK,CODIGO_TIPO_INSTRUMENTO,IND_CALCULA_PENALIDAD,IND_PENALIDAD_RENOV,IND_REDENCION_ANT,IND_BONOS,IND_RENOVACION_AUTO,IND_PRD_EMP
1,100,1000,N,CF,,,,,D,30,N,,360,365,30,B2000,22/11/1999,B2000,11/7/2011,,S,N,,31,CDPERPESOS,0,0,0,231,S,S,N,N,N,
1,101,1000,N,CF,,,,,D,30,N,,360,365,30,B2000,22/11/1999,B2000,11/7/2011,,S,N,,31,CDPERPESOS,0,0,0,231,S,S,S,N,N,
1,102,1000,N,CF,,,,,D,30,N,,360,365,30,B2000,22/11/1999,B2000,11/7/2011,,S,N,,31,CDPERPESOS,0,0,0,231,S,S,S,N,N,
1,103,1000,N,CF,,,,,D,30,N,,360,365,30,B2000,22/11/1999,B2000,11/7/2011,,S,N,,31,CDPERPESOS,0,0,0,231,S,S,S,N,N,
1,200,1000,N,CU,,,,,D,,N,,360,365,30,B2000,11/9/2015,,,,S,S,,31,CDPERDOLAR,0,0,5,221,S,S,S,N,N,
1,201,1000,N,CF,,,,,D,30,N,,360,365,30,B2000,22/11/1999,B2000,11/7/2011,,S,N,,31,CDPERPESOS,0,0,0,231,S,S,S,N,N,
1,202,1000,N,CF,,,,,D,30,N,,360,365,30,B2000,22/11/1999,B2000,11/7/2011,,S,N,,31,CDPERPESOS,0,0,0,231,S,S,S,N,N,
1,203,1000,N,CF,,,,,D,30,N,,360,365,30,B2000,22/11/1999,B2000,11/7/2011,,S,N,,31,CDPERPESOS,0,0,0,231,S,S,S,N,N,
1,204,1000,N,CU,,,,,D,,N,,360,365,30,B2000,22/11/1999,B2000,4/3/2014,,S,S,,31,CDPERPESOS,0,0,200,231,S,S,S,N,N,
1,205,1000,N,CF,,,,,D,30,N,,360,365,30,B2000,22/11/1999,B2000,11/7/2011,,S,N,,31,CDPERPESOS,0,0,0,231,S,S,S,N,N,
