COD_CAT_PRODUCTO,COD_PRODUCTO,COD_MONEDA,DESCRIPCION,COD_EMPRESA,DETALLE,CLTE_PROSPECTO,NOM_FILTRO,NOM_IMAGEN,ABREVIATURA,REQUERIMIENTOS,COD_PRODUCTO_SB,TIPO_PERSONA,TIPO_INSTRUMENTO_SB
CC,100,1,CC Personal Normal,1,,,,,CC01,,211,F,211
CC,101,1,CC Personal Microempresa,1,,,,,CC01,,211,F,211
CC,102,1,CC Comercial Tipo A,1,,,,,CC01,,211,J,211
CC,103,1,CC Comercial Tipo B,1,,,,,CC01,,212,J,212
CC,104,1,CC Comercial Persona Fisica,1,,,,,CC01,,211,F,211
CC,105,1,CC Comercial Tipo Empresarial Oferta,1,,,,,CC01,,211,J,211
IT,150,1,Titulos en Moneda Nacional DOP,1,,,,,IV001,,,A,
CC,200,1,Cuenta de Ahorro Normal Pesos (P.Fisica),1,,,,,CC02,,213,F,213
CC,201,1,Cuenta de Ahorro Normal Pesos (P.Juridica),1,,,,,CC02,,213,J,213
CC,202,1,Cuenta de Ahorro Programado Mi Inicial Pesos (P.Fisica),1,,,,,CC02,,216,F,216
CC,203,1,Cuenta de Ahorro Mi Inicial Te Reto por un Sueño,1,,,,,CC02,,213,F,213
CC,204,1,Cuenta de Nomina Automatica/Empresas Pesos (P.Fisica),1,,,,,CC02,,213,F,213
CC,205,1,Cuenta de Nomina Automatica/Empresas Pesos (P.Juridica),1,,,,,CC02,,213,J,213
CC,206,1,Cuenta de Ahorro Infantil Pesos (P.Fisica),1,,,,,CC02,,213,F,213
CC,207,1,Cuenta de Nomina Empleados Ademi Pesos (P.Fisica),1,,,,,CC02,,213,F,213
CC,208,1,Cuenta de Ahorro Preferente Pesos (P.Fisica),1,,,,,CC02,,213,F,213
CC,209,1,Cuenta de Ahorro  Preferente Pesos (P.Juridica),1,,,,,CC02,,213,J,213
CC,210,1,Cuenta de Ahorro Digital Pesos (P.Fisica),1,,,,,,,CC02,F,213
CC,220,2,Cuenta de Ahorro en Dolares (P.Fisica),1,,,,,CC02,,213,F,213
CC,221,2,Cuenta de Ahorro en Dolares (P.Juridica),1,,,,,CC02,,213,J,213
CC,222,2,Cuenta de Ahorro Preferente en Dolares (P.Fisica),1,,,,,CC02,,213,F,213
CC,223,2,Cuenta de Ahorro  Preferente en Dolares (P.Juridica),1,,,,,CC02,,213,J,213
CD,300,1,Certificados financieros Pagadero pesos (P.Fisica),1,,,,,CD01,,221,F,221
CD,301,1,Certificados financieros Pagadero pesos (P.Juridica),1,,,,,CD01,,221,J,221
CD,302,1,Certificados financieros Capitalizable pesos  (P.Fisica),1,,,,,CD01,,221,F,221
CD,303,1,Certificados financieros Capitalizable pesos  (P.Juridica),1,,,,,CD01,,221,J,221
CD,304,1,Certificados A Plazos pagadero pesos  (P.Fisica),1,,,,,CD01,,221,F,221
CD,305,1,Certificados A Plazos pagadero pesos  (P.Juridica),1,,,,,CD01,,221,J,221
CD,306,1,Certificados A Plazos pagadero pesos  (P.Juridica),1,,,,,CD01,,221,J,221
CD,307,1,Certificados A Plazos pagadero pesos  (P.Fisica),1,,,,,CD01,,221,F,221
CD,320,2,Certificados financieros Pagadero Dólares  (P.Fisica),1,,,,,CD01,,221,F,221
CD,321,2,Certificados financieros Pagadero Dólares  (P.Juridica),1,,,,,CD01,,221,J,221
CD,322,2,Certificados financieros Capitalizable Dólares  (P.Fisica),1,,,,,CD01,,221,F,221
CD,323,2,Certificados financieros Capitalizable Dólares  (P.Juridica),1,,,,,CD01,,221,J,221
CD,350,1,Certificados financieros Pagadero pesos Empleados  (P.Fisica),1,,,,,CD01,,221,F,221
CD,351,1,Certificados financieros Capitalizable pesos Empleados  (P.Fisica),1,,,,,CD01,,221,F,221
CD,352,1,Certificados A Plazos pagadero pesos Empleados  (P.Fisica),1,,,,,CD01,,221,F,221
CD,353,2,Certificados financieros Pagadero Dólares Empleados  (P.Fisica),1,,,,,CD01,,221,F,221
CD,354,2,Certificados financieros Capitalizable Dólares Empleados  (P.Fisica),1,,,,,CD01,,221,F,221
CD,370,1, Bonos Corporativo Pesos (1er. Emision),1,,,,,BN01,,251,A,251
CD,371,1, Bonos Corporativo Pesos (2da. Emision),1,,,,,BN01,,,A,251
CD,380,1,Acciones en pesos,1,,,,,AC01,,291,A,291
CC,381,1,GENERICO **** CAMBIAR ****,1,,,,,,,,,
TC,401,1,TC PESOS,1,,,,,TC01,,171,A,171
TC,4011,1,TC PESOS,1,,,,,TC01,,,A,
TC,402,1,VISA DEBITO EMPLEADOS,1,,,,,TC01,,,A,
TC,403,3,TC EUROS,1,,,,,TC01,,,A,
TC,4033,3,TC EUROS,1,,,,,TC01,,,A,
TC,407,1,VISA FLOTILLA COMBUSTIBLE CLIENTE,1,,,,,TC01,,134,F,134
TC,4071,1,VISA FLOTILLA COMBUSTIBLE CLIENTE,1,,,,,TC01,,174,F,174
TC,408,1,VISA DEBITO CLIENTES,1,,,,,TC01,,,A,
TC,409,1,VISA DEBITO EMPRESARIAL,1,,,,,TC01,,,A,
TC,410,1,VISA CLASICA INT. STAFF,1,,,,,TC01,,171,F,171
TC,4101,1,VISA CLASICA INT. STAFF,1,,,,,TC01,,171,F,171
TC,4102,2,VISA CLASICA INT. STAFF,1,,,,,TC01,,,F,
TC,415,1,VISA CLASICA INTERNACIONAL,1,,,,,TC01,,171,F,171
TC,4151,1,VISA CLASICA INTERNACIONAL,1,,,,,TC01,,171,F,171
TC,4152,2,VISA CLASICA INTERNACIONAL,1,,,,,TC01,,,F,
TC,418,1,VISA CLASICA INT. OFERTA NEG. 1,1,,,,,TC01,,171,A,171
TC,4181,1,VISA CLASICA INT. OFERTA NEG. 1,1,,,,,TC01,,171,A,171
TC,4182,2,VISA CLASICA INT. OFERTA NEG. 1,1,,,,,TC01,,,A,
TC,420,1,VISA CLASICA LOCAL STAFF,1,,,,,TC01,,171,F,171
TC,4201,1,VISA CLASICA LOCAL STAFF,1,,,,,TC01,,171,F,171
TC,425,1,VISA CLASICA LOCAL,1,,,,,TC01,,171,F,171
TC,4251,1,VISA CLASICA LOCAL,1,,,,,TC01,,171,F,171
TC,428,1,VISA CLASICA LOCAL OFERTA NEG. 1,1,,,,,TC01,,171,A,171
TC,4281,1,VISA CLASICA LOCAL OFERTA NEG. 1,1,,,,,TC01,,171,A,171
TC,430,1,VISA CLASICA LOCAL HIPEROLE EMPLEADO,1,,,,,TC01,,171,F,171
TC,4301,1,VISA CLASICA LOCAL HIPEROLE EMPLEADO,1,,,,,TC01,,171,F,171
TC,435,1,VISA CLASICA LOCAL HIPEROLE CLIENTES,1,,,,,TC01,,171,F,171
TC,4351,1,VISA CLASICA LOCAL HIPEROLE CLIENTES,1,,,,,TC01,,171,F,171
TC,440,1,VISA GOLD INT. - STAFF,1,,,,,TC01,,172,F,172
TC,4401,1,VISA GOLD INT. - STAFF,1,,,,,TC01,,172,F,172
TC,4402,2,VISA GOLD INT. - STAFF,1,,,,,TC01,,,F,
TC,445,1,VISA GOLD INTERNACIONAL,1,,,,,TC01,,172,F,172
TC,4451,1,VISA GOLD INTERNACIONAL,1,,,,,TC01,,172,F,172
TC,4452,2,VISA GOLD INTERNACIONAL,1,,,,,TC01,,,F,
TC,448,1,VISA GOLD INT. OFERTA NEG. 1,1,,,,,TC01,,172,A,172
TC,4481,1,VISA GOLD INT. OFERTA NEG. 1,1,,,,,TC01,,172,A,172
TC,4482,2,VISA GOLD INT. OFERTA NEG. 1,1,,,,,TC01,,,A,
TC,450,1,VISA FLEXIBLE EMPLEADOS,1,,,,,TC01,,171,F,171
TC,4501,1,VISA FLEXIBLE EMPLEADOS,1,,,,,TC01,,171,F,171
TC,453,1,VISA BLUE COUNTRY MINORISTA,1,,,,,TC01,,171,F,171
TC,4531,1,VISA BLUE COUNTRY MINORISTA,1,,,,,TC01,,171,F,171
TC,455,1,VISA FLEXIBLE CLIENTES,1,,,,,TC01,,171,F,171
TC,4551,1,VISA FLEXIBLE CLIENTES,1,,,,,TC01,,171,F,171
TC,458,1,VISA FLEXIBLE OFERTA,1,,,,,TC01,,171,F,171
